unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,address_type,city,facility_type,status,due_date,resolution_description,resolution_action_updated_date,community_board,borough,x_coordinate_state_plane,y_coordinate_state_plane,park_facility_name,park_borough,latitude,longitude,location,intersection_street_1,intersection_street_2,taxi_pick_up_location
34430522,2016-09-29T23:00:00.000,2016-10-05T11:38:00.000,DEP,Department of Environmental Protection,Noise,"Noise, Barking Dog (NR5)",,10459,1346 CHISHOLM STREET,CHISHOLM STREET,FREEMAN ST,JENNINGS ST,ADDRESS,BRONX,N/A,Closed,,The Department of Environmental Protection determined that an inspection is not warranted to investigate this complaint at this time and sent a letter to the complainant and/or respondent.,2016-10-05T11:38:00.000,03 BRONX,BRONX,1013109,242130,Unspecified,BRONX,40.831219189751614,-73.8957161174506,"{'type': 'Point', 'coordinates': [-73.8957161174506, 40.831219189751614]}",,,
34433096,2016-09-29T22:59:42.000,2016-09-30T01:45:31.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10012,180 THOMPSON STREET,THOMPSON STREET,WEST HOUSTON STREET,BLEECKER STREET,ADDRESS,NEW YORK,Precinct,Closed,2016-09-30T06:59:42.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2016-09-30T01:45:31.000,02 MANHATTAN,MANHATTAN,984221,204469,Unspecified,MANHATTAN,40.72789686310216,-74.00010463089083,"{'type': 'Point', 'coordinates': [-74.00010463089083, 40.72789686310216]}",,,
34435901,2016-09-29T22:59:28.000,2016-09-30T00:12:37.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10027,2035 7 AVENUE,7 AVENUE,WEST 121 STREET,WEST 122 STREET,ADDRESS,NEW YORK,Precinct,Closed,2016-09-30T06:59:28.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2016-09-30T00:12:37.000,10 MANHATTAN,MANHATTAN,998128,233236,Unspecified,MANHATTAN,40.80684391338799,-73.94986931454459,"{'type': 'Point', 'coordinates': [-73.94986931454459, 40.80684391338799]}",,,
34434921,2016-09-29T22:59:21.000,2016-09-30T08:20:14.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10462,2160 BRONX PARK EAST,BRONX PARK EAST,LYDIG AVENUE,BOSTON ROAD,ADDRESS,BRONX,Precinct,Closed,2016-09-30T06:59:21.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2016-09-30T08:20:14.000,11 BRONX,BRONX,1020313,250810,Unspecified,BRONX,40.855016745852964,-73.86963734859283,"{'type': 'Point', 'coordinates': [-73.86963734859283, 40.855016745852964]}",,,
34433123,2016-09-29T22:58:54.000,2016-09-30T00:12:33.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10026,1925 7 AVENUE,7 AVENUE,ST NICHOLAS AVENUE,WEST 117 STREET,ADDRESS,NEW YORK,Precinct,Closed,2016-09-30T06:58:54.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2016-09-30T00:12:33.000,10 MANHATTAN,MANHATTAN,997445,232003,Unspecified,MANHATTAN,40.80346071478072,-73.95233889822234,"{'type': 'Point', 'coordinates': [-73.95233889822234, 40.80346071478072]}",,,
34432961,2016-09-29T22:58:41.000,2016-09-30T02:31:55.000,NYPD,New York City Police Department,Noise - Vehicle,Engine Idling,Street/Sidewalk,11418,89-30 133 STREET,133 STREET,JAMAICA AVENUE,DEAD END,ADDRESS,RICHMOND HILL,Precinct,Closed,2016-09-30T06:58:41.000,The Police Department responded and upon arrival those responsible for the condition were gone.,2016-09-30T02:31:55.000,09 QUEENS,QUEENS,1034639,194274,Unspecified,QUEENS,40.69977055986449,-73.81827498465977,"{'type': 'Point', 'coordinates': [-73.81827498465977, 40.69977055986449]}",,,
34431251,2016-09-29T22:58:19.000,2016-09-30T00:00:48.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10016,27 EAST 30 STREET,EAST 30 STREET,MADISON AVENUE,PARK AVENUE SOUTH,ADDRESS,NEW YORK,Precinct,Closed,2016-09-30T06:58:19.000,The Police Department responded to the complaint and took action to fix the condition.,2016-09-30T00:00:48.000,05 MANHATTAN,MANHATTAN,988546,210747,Unspecified,MANHATTAN,40.745127378406316,-73.98449618751587,"{'type': 'Point', 'coordinates': [-73.98449618751587, 40.745127378406316]}",,,
34434999,2016-09-29T22:58:00.000,2016-09-30T09:49:00.000,DOT,Department of Transportation,Street Light Condition,Street Light Cycling,,11414,161-40 87 STREET,87 STREET,161 AVE,162 AVE,ADDRESS,Howard Beach,N/A,Closed,,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2016-09-30T09:49:00.000,10 QUEENS,QUEENS,1027405,177693,Unspecified,QUEENS,40.65429776675783,-73.8444701006459,"{'type': 'Point', 'coordinates': [-73.8444701006459, 40.65429776675783]}",,,
34431860,2016-09-29T22:57:56.000,2016-10-03T02:14:40.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10459,1120 BRYANT AVENUE,BRYANT AVENUE,,,ADDRESS,BRONX,N/A,Closed,,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,2016-10-03T02:14:40.000,03 BRONX,BRONX,1015010,240578,Unspecified,BRONX,40.826952980949955,-73.88885385278444,"{'type': 'Point', 'coordinates': [-73.88885385278444, 40.826952980949955]}",,,
34436917,2016-09-29T22:57:09.000,2016-09-30T00:08:17.000,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11208,335 FOUNTAIN AVENUE,FOUNTAIN AVENUE,SUTTER AVENUE,BLAKE AVENUE,ADDRESS,BROOKLYN,Precinct,Closed,2016-09-30T06:57:09.000,The Police Department responded to the complaint and took action to fix the condition.,2016-09-30T00:08:17.000,05 BROOKLYN,BROOKLYN,1019090,183974,Unspecified,BROOKLYN,40.67157432300687,-73.87440471989372,"{'type': 'Point', 'coordinates': [-73.87440471989372, 40.67157432300687]}",,,
34436158,2016-09-29T22:56:00.000,2016-10-04T19:02:00.000,DEP,Department of Environmental Protection,Noise,Noise: Alarms (NR3),,10031,93 HAMILTON PLACE,HAMILTON PLACE,W 141 ST,W 142 ST,ADDRESS,NEW YORK,N/A,Closed,,The Department of Environmental Protection researched this complaint and determined that it could be closed.,2016-10-04T19:02:00.000,09 MANHATTAN,MANHATTAN,998004,239204,Unspecified,MANHATTAN,40.823224595372906,-73.95030500233685,"{'type': 'Point', 'coordinates': [-73.95030500233685, 40.823224595372906]}",,,
